City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,college,64.8569,-147.8028,17.420000000000016,40,75,5.14,US,1686611436
66,geraldton,-28.7667,114.6,8.379999999999995,87,0,4.63,AU,1686611424
67,medina,24.4686,39.6142,30.389999999999986,20,0,1.03,SA,1686611159
68,isafjordur,66.0755,-23.124,9.329999999999984,76,4,3.6,IS,1686611437
69,valparaiso,-33.0393,-71.6273,7.949999999999989,87,0,0.0,CL,1686611438
70,okha,53.5739,142.9478,7.060000000000002,94,100,2.79,RU,1686611438
71,bredasdorp,-34.5322,20.0403,13.490000000000009,67,100,8.83,ZA,1686611439
72,tiksi,71.6872,128.8694,2.0500000000000114,92,78,0.68,RU,1686611439
73,acarau,-2.8856,-40.12,26.589999999999975,82,1,6.58,BR,1686611440
74,weno,7.4515,151.8468,30.120000000000005,79,75,5.14,FM,1686611440
75,mount isa,-20.7333,139.5,17.019999999999982,51,75,0.0,AU,1686611441
76,susuman,62.7833,148.1667,21.339999999999975,46,98,2.65,RU,1686611441
77,dudinka,69.4058,86.1778,7.720000000000027,70,94,3.85,RU,1686611442
78,utrik,11.2278,169.8474,27.660000000000025,82,88,8.81,MH,1686611443
79,sault ste. marie,46.5168,-84.3333,10.45999999999998,100,100,5.66,CA,1686611443
80,gumla,23.05,84.55,29.089999999999975,35,68,1.63,IN,1686611443
81,afaahiti,-17.75,-149.2833,28.079999999999984,73,44,8.29,PF,1686611444
82,ambalavao,-21.8333,46.9333,13.100000000000023,68,0,0.48,MG,1686611445
83,cabo san lucas,22.8909,-109.9124,33.75999999999999,33,0,3.6,MX,1686611445
84,luderitz,-26.6481,15.1594,13.20999999999998,82,0,4.96,NA,1686611446
85,aasiaat,68.7098,-52.8699,1.009999999999991,77,57,8.72,GL,1686611447
86,tofol,5.3248,163.0078,29.029999999999973,79,100,5.14,FM,1686611447
87,wailua homesteads,22.0669,-159.378,28.389999999999986,78,20,6.17,US,1686611448
88,kavaratti,10.5669,72.642,29.69999999999999,75,97,9.25,IN,1686611448
89,vorgashor,67.5833,63.95,4.100000000000023,57,97,3.8,RU,1686611449
90,qaqortoq,60.7167,-46.0333,6.240000000000009,79,100,2.93,GL,1686611449
91,east london,-33.0153,27.9116,14.45999999999998,68,99,5.63,ZA,1686611450
92,ejigbo,7.9,4.3167,21.80000000000001,90,76,1.38,NG,1686611450
93,harper,4.375,-7.7169,25.25999999999999,79,54,4.36,LR,1686611451
94,yellowknife,62.456,-114.3525,9.189999999999998,59,93,6.72,CA,1686611451
95,kuta,-8.7233,115.1723,27.120000000000005,83,20,6.71,ID,1686611452
96,pacific grove,36.6177,-121.9166,20.339999999999975,75,20,8.75,US,1686611452
97,west island,-12.1568,96.8225,27.139999999999986,83,75,9.13,CC,1686611453
98,hawaiian paradise park,19.5933,-154.9731,28.879999999999995,69,20,3.6,US,1686611453
99,kodiak,57.79,-152.4072,11.879999999999995,54,75,5.14,US,1686611454
100,sosnovo-ozerskoye,52.5249,111.5418,15.0,61,90,4.79,RU,1686611454
101,constantia,44.1833,28.65,13.529999999999973,82,34,7.37,RO,1686611286
102,bocanda,7.0626,-4.4995,21.75999999999999,97,62,1.82,CI,1686611455
103,chonchi,-42.6128,-73.8092,4.100000000000023,95,13,1.11,CL,1686611456
104,bolvadin,38.7111,31.0486,16.329999999999984,77,99,1.59,TR,1686611456
105,nizhneudinsk,54.9076,99.0276,10.259999999999991,98,100,1.9,RU,1686611457
106,launceston,-41.45,147.1667,10.230000000000018,97,100,0.0,AU,1686611248
107,whitehorse,60.7161,-135.0538,16.99000000000001,20,83,8.49,CA,1686611458
108,kerikeri,-35.2268,173.9474,15.319999999999993,64,8,3.58,NZ,1686611458
109,murghob,38.1702,73.9667,8.050000000000011,61,34,0.79,TJ,1686611459
110,mount darwin,-16.7725,31.5838,13.759999999999991,57,2,1.06,ZW,1686611459
111,ilulissat,69.2167,-51.1,3.160000000000025,65,75,4.63,GL,1686611460
112,chui,-33.6971,-53.4616,8.480000000000018,69,37,3.38,UY,1686611460
113,naze,28.3667,129.4833,22.25999999999999,93,98,3.87,JP,1686611461
114,olonkinbyen,70.9221,-8.7187,1.2099999999999795,90,96,7.88,SJ,1686611461
115,albany,42.6001,-73.9662,24.94999999999999,57,100,0.45,US,1686611462
116,longyearbyen,78.2186,15.6401,2.0600000000000023,87,75,5.66,SJ,1686611462
117,garanhuns,-8.8903,-36.4928,18.370000000000005,97,39,3.35,BR,1686611463
118,port augusta,-32.5,137.7667,10.910000000000025,82,1,3.02,AU,1686611464
119,arvayheer,46.2639,102.775,17.480000000000018,32,64,1.34,MN,1686611464
120,saipan,15.1355,145.701,30.54000000000002,100,75,6.17,MP,1686611465
121,kone,-21.0595,164.8658,24.930000000000007,50,23,2.06,NC,1686611466
122,guerrero negro,27.9769,-114.0611,20.5,57,1,9.1,MX,1686611466
123,badger,64.8,-147.5333,17.370000000000005,38,20,5.14,US,1686611193
124,iskateley,67.6803,53.1512,6.759999999999991,90,68,5.01,RU,1686611468
125,thaon-les-vosges,48.25,6.4167,17.230000000000018,69,46,1.96,FR,1686611469
126,atiquizaya,13.9769,-89.7525,25.95999999999998,91,85,2.58,SV,1686611469
127,tolanaro,-25.0319,46.9987,19.029999999999973,93,16,3.3,MG,1686611470
128,broken hill,-31.95,141.4333,9.95999999999998,73,20,7.37,AU,1686611470
129,khorixas,-20.3667,14.9667,10.019999999999982,60,1,1.81,NA,1686611406
130,invercargill,-46.4,168.35,10.420000000000016,90,98,2.19,NZ,1686611376
131,xunchang,28.4543,104.715,19.50999999999999,77,96,1.25,CN,1686611254
132,saint-zotique,45.2501,-74.2492,27.100000000000023,47,100,3.09,CA,1686611472
133,penzance,50.1186,-5.5371,15.529999999999973,89,7,2.8,GB,1686611473
134,campbell river,50.0163,-125.2446,27.360000000000014,32,75,3.09,CA,1686611473
135,jamestown,42.097,-79.2353,13.920000000000016,80,100,5.81,US,1686611474
136,pangody,65.85,74.4859,0.7099999999999795,84,40,6.36,RU,1686611475
137,prince rupert,54.3161,-130.3201,15.199999999999989,84,100,6.17,CA,1686611475
138,nampula,-15.1165,39.2666,15.370000000000005,94,0,1.19,MZ,1686611476
139,soroti,1.7146,33.6111,18.350000000000023,86,97,1.12,UG,1686611476
140,santana do ipanema,-9.3783,-37.2453,21.379999999999995,95,23,2.68,BR,1686611477
141,la passe,45.5549,-0.8967,19.579999999999984,92,98,4.35,FR,1686611477
142,ambon,-3.6954,128.1814,27.30000000000001,81,40,4.12,ID,1686611478
143,labuan,5.2767,115.2417,27.680000000000007,79,93,1.65,MY,1686611478
144,palera,25.0167,79.2333,35.660000000000025,30,55,1.76,IN,1686611422
145,adrar,20.5022,-10.0711,30.779999999999973,18,45,5.41,MR,1686611479
146,suwalki,54.1118,22.9309,10.649999999999977,75,100,3.85,PL,1686611480
147,petropavlovsk-kamchatsky,53.0452,158.6483,19.470000000000027,45,0,2.0,RU,1686611480
148,papatowai,-46.5619,169.4708,10.529999999999973,88,93,3.01,NZ,1686611481
149,osinovo,55.8809,48.881,10.199999999999989,71,0,3.35,RU,1686611482
150,kolda,12.8833,-14.95,28.189999999999998,71,78,4.43,SN,1686611482
151,ivdel',60.6911,60.4206,5.6200000000000045,75,34,2.32,RU,1686611483
152,dalandzadgad,43.5708,104.425,20.730000000000018,25,3,4.47,MN,1686611483
153,olyokminsk,60.3736,120.4264,9.899999999999977,44,8,3.24,RU,1686611483
154,egersund,58.4513,5.9997,15.110000000000014,55,22,1.93,NO,1686611485
155,st. john's,47.5649,-52.7093,7.910000000000025,90,100,3.58,CA,1686611486
156,coxen hole,16.3244,-86.5366,30.75,79,20,9.26,HN,1686611486
157,maracaju,-21.6144,-55.1683,13.54000000000002,93,100,4.12,BR,1686611488
158,ingeniero jacobacci,-41.3427,-69.5448,1.1999999999999886,64,2,1.93,AR,1686611488
159,jaszkiser,47.45,20.2167,12.370000000000005,75,36,5.05,HU,1686611489
160,portoferraio,42.8115,10.3146,24.569999999999993,79,56,3.93,IT,1686611489
161,lebu,-37.6167,-73.65,9.259999999999991,81,0,6.64,CL,1686611490
162,puerto leguizamo,-0.1934,-74.7819,24.25999999999999,96,78,0.62,CO,1686611490
163,zeya,53.75,127.2667,20.910000000000025,55,80,1.21,RU,1686611491
164,rocha,-34.4833,-54.3333,6.8700000000000045,82,23,3.02,UY,1686611491
165,val-d'or,48.1002,-77.7828,21.19999999999999,64,100,1.03,CA,1686611492
166,albufeira,37.0882,-8.2503,20.060000000000002,78,64,4.94,PT,1686611483
167,tromso,69.6496,18.957,8.160000000000025,76,100,7.72,NO,1686611493
168,ibicui,-14.8417,-39.9867,19.160000000000025,85,4,1.33,BR,1686611493
169,priozersk,61.0393,30.1291,6.310000000000002,88,13,3.09,RU,1686611494
170,kaiapoi,-43.3783,172.6401,12.079999999999984,83,100,3.09,NZ,1686611460
171,dhidhdhoo,6.8833,73.1,29.0,78,93,8.34,MV,1686611495
172,portlaoise,53.0344,-7.2998,17.629999999999995,93,80,2.3,IE,1686611496
173,kattivakkam,13.2167,80.3167,30.189999999999998,74,89,7.36,IN,1686611496
174,fortuna,40.5982,-124.1573,17.569999999999993,81,20,9.26,US,1686611497
175,modimolle,-24.7,28.4,12.319999999999993,38,5,4.96,ZA,1686611497
176,atafu village,-8.5421,-172.5159,28.69999999999999,76,28,5.65,TK,1686611498
177,manicore,-5.8092,-61.3003,27.870000000000005,67,58,0.92,BR,1686611498
178,touros,-5.1989,-35.4608,25.279999999999973,85,1,5.03,BR,1686611499
179,tsiombe,-25.3,45.4833,18.610000000000014,94,29,1.2,MG,1686611499
180,fredrikstad,59.2181,10.9298,14.560000000000002,62,58,3.09,NO,1686611201
181,tobelo,1.7284,128.0095,27.05000000000001,82,86,1.7,ID,1686611500
182,cill airne,52.05,-9.5167,15.29000000000002,89,92,1.53,IE,1686611501
183,vilyuchinsk,52.9306,158.4028,20.29000000000002,51,0,2.44,RU,1686611501
184,chifeng,42.2683,118.9636,17.360000000000014,67,24,2.04,CN,1686611502
185,alpena,45.0617,-83.4327,13.329999999999984,92,100,2.06,US,1686611502
186,kavieng,-2.5744,150.7967,28.870000000000005,75,79,5.6,PG,1686611503
187,amga,60.8953,131.9608,4.680000000000007,89,100,2.48,RU,1686611503
188,anadyr,64.75,177.4833,13.430000000000007,58,0,6.0,RU,1686611504
189,la'ie,21.6477,-157.9253,32.129999999999995,69,54,7.63,US,1686611504
190,hamilton,39.1834,-84.5333,20.79000000000002,58,40,6.69,US,1686611505
191,mugia,43.1041,-9.2179,18.430000000000007,91,99,2.51,ES,1686611505
192,chiredzi,-21.05,31.6667,18.930000000000007,35,33,2.34,ZW,1686611506
193,stanley,54.868,-1.6985,13.769999999999982,88,56,1.54,GB,1686611506
194,tongliao,43.6125,122.2653,19.680000000000007,62,7,2.93,CN,1686611507
195,kapuskasing,49.4169,-82.4331,21.19999999999999,52,100,3.09,CA,1686611507
196,fernley,39.608,-119.2518,24.060000000000002,43,97,1.34,US,1686611508
197,palmer,42.1584,-72.3287,24.120000000000005,56,75,4.12,US,1686611508
198,poltavka,54.3663,71.7632,10.180000000000007,63,73,1.67,RU,1686611509
199,fairbanks,64.8378,-147.7164,17.420000000000016,39,20,5.14,US,1686611240
200,pangai,-19.8,-174.35,21.930000000000007,89,92,7.71,TO,1686611510
201,chibougamau,49.9168,-74.3659,24.939999999999998,36,0,3.09,CA,1686611510
202,tarawa,1.419,172.984,30.19999999999999,74,75,1.54,KI,1686611511
203,natal,-5.795,-35.2094,25.50999999999999,88,40,1.54,BR,1686611511
204,tura,25.5198,90.2201,23.629999999999995,96,69,2.45,IN,1686611400
205,krasnogorskoye,52.2953,86.1979,11.360000000000014,85,98,1.55,RU,1686611512
206,waingapu,-9.6567,120.2641,23.620000000000005,82,12,4.23,ID,1686611513
207,nowy tomysl,52.3195,16.1284,15.25,58,4,2.48,PL,1686611513
208,rabigh,22.7986,39.0349,30.610000000000014,40,0,3.41,SA,1686611514
209,fomboni,-12.28,43.7425,26.30000000000001,59,2,1.52,KM,1686611514
210,hobyo,5.3505,48.5268,25.899999999999977,86,88,12.2,SO,1686611515
211,cooper's town,26.8667,-77.5167,27.810000000000002,78,37,7.25,BS,1686611515
212,avarua,-21.2078,-159.775,26.180000000000007,83,75,4.63,CK,1686611516
213,hadibu,12.65,54.0333,28.25999999999999,78,100,9.14,YE,1686611462
214,poronaysk,49.2167,143.1167,8.379999999999995,98,100,2.04,RU,1686611518
215,kalawit,8.0667,122.5167,26.980000000000018,83,28,0.8,PH,1686611518
216,zhezqazghan,47.7833,67.7667,20.829999999999984,33,61,4.8,KZ,1686611519
217,west livingston,30.6983,-95.0019,34.18000000000001,41,0,2.96,US,1686611519
218,vinton,37.281,-79.897,24.139999999999986,58,40,6.17,US,1686611520
219,pampa,35.5362,-100.9599,21.579999999999984,77,98,5.66,US,1686611521
220,port lincoln,-34.7333,135.8667,13.410000000000025,68,56,10.0,AU,1686611521
